MM3
470.2142857
490.6428572
487.1428572
499.9285714
525.2142857
511.1428572
520.2142857
528.1428571
528.7142857
548.4285715
549.7857143
548.5
547.5
504.5
483.8571429
508.5714286
478.5714286
478.7142857
515.0714286
480.1428571
469.6428571
499.7142857
510.2142857
517.7142857
497.4285714
484.5
486.5
478.7857143
495.3571429
499.2857143
501
502.2857143
482.7142857
499.5
524.6428572
535
535.7857143
518.2857143
509.7142857
507.4285715
509.4285715
504.4285715
503.7857143
500.7857143
474.4285715
457.1428571
463
498.7857143
481.4285715
484.0714286
487
442
455.5714286
497.1428572
503.8571429
488
492.5714286
492.2142858
470.2142857
466.5714286
493.5714286
492.3571429
503
487.5714286
456.2857143
461.7857143
468
470.7142857
482.6428572
500.3571429
499.2142857
486.4285715
468.7857143
464.5714286
456.1428571
439.4285714
469.7142857
481.5714286
470.3571429
482.4285715
485.2142858
480.7857143
455.5
462.6428571
487.5714286
470.1428571
467.7857143
497
515.5714286
506.4285715
493.2857143
473.5
469.1428572
478.7857143
461.5
459.2142857
470.5714286
479.5
484.9285715
462.6428572
467.6428572
456.9285714
415.2857143
422.2857143
440.2857143
448.1428571
464.7142857
488.0714286
479.1428571
454.2857143
447.8571429
451
454.8571429
436.5714286
422.1428571
426.5
405.9285714
428.4285714
470.5
474.5
479.2857143
468.8571428
453.2857143
458.7857143
457
437.7142857
412.6428571
404.5714286
416
433.1428571
449.2142857
445.8571429
443.0714286
454.7857143
466.2857143
460.2142857
450
445.4285714
444.9285714
437.9285714
439.9285714
429.5
422.7857143
440.7142857
443.6428571
443.6428571
442.0714286
440.8571429
438.0714286
424.7857143
447.0714286
460.5714286
472.5
470.2857143
469.1428571
462.7857143
437.1428571
447.5714286
444.2142857
442.8571429
436.5
430.7142857
435.7142857
438.0714286
439.1428571
433.7857143
422.3571429
416.6428571
415.5714286
